Resource Name,Project Name,Task Name,HOMEGROUP,Resource Security Group,PRIMARY_BL,DEPT_COUNTRY,DEMAND_TYPE,="Oct 25",="Nov 25",="Dec 25",="Jan 26",="Feb 26",="Mar 26",="Apr 26",="May 26",="Jun 26",="Jul 26",="Aug 26",="Sep 26",="Oct 26",="Nov 26",="Dec 26",="Jan 27",="Feb 27",="Mar 27",="Apr 27",="May 27",="Jun 27",="Jul 27",="Aug 27",="Sep 27",="Oct 27",="Nov 27",="Dec 27",="Jan 28",="Feb 28",="Mar 28",="Apr 28",="May 28",="Jun 28",="Jul 28",="Aug 28",="Sep 28",="Oct 28",="Nov 28",="Dec 28",="Jan 29",="Feb 29",="Mar 29",="Apr 29",="May 29",="Jun 29",="Jul 29",="Aug 29",="Sep 29",
CNE-PE and Arch Technology_50706_X_US_Connectivity Shared_Staffed,24156 - CBN_CCW_Pion_HW,Generic,CNE-PE and Arch,CNE,CCW,US,Staffed,0.40,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.50,0.50,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-PE and Arch Technology_11977_India-BDC_Connectivity Shared_Staffed,24156 - CBN_CCW_Pion_HW,Generic,CNE-PE and Arch,CNE,CCW,India,Staffed,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS System_77963_X_India-CDC_Connectivity Shared_Staffed,26138 - CBN_WIN_Hermosa_HW,Generic,CNE-HWS,CNE,WIN,India,Staffed,0.00,0.00,0.50,2.50,2.50,2.50,2.50,3.00,3.00,3.00,3.00,3.00,6.75,6.75,6.75,6.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS RF and Board Design_77963_X_India-CDC_Connectivity Shared_Staffed,26138 - CBN_WIN_Hermosa_HW,Generic,CNE-HWS,CNE,WIN,India,Staffed,2.25,2.25,2.75,4.25,5.25,5.75,6.25,6.25,6.50,3.00,1.25,1.00,1.75,1.75,1.25,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS DVT_77963_X_India-CDC_Connectivity Shared_Staffed,26138 - CBN_WIN_Hermosa_HW,Generic,CNE-HWS,CNE,WIN,India,Staffed,0.00,0.00,0.00,0.50,0.50,0.50,0.50,0.50,0.50,0.00,0.00,0.00,1.25,1.25,1.25,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS System_58316_X_Taiwan_Connectivity Shared_Staffed,26138 - CBN_WIN_Hermosa_HW,Generic,CNE-HWS,CNE,WIN,Taiwan,Staffed,0.00,0.00,0.00,3.00,4.00,5.50,5.50,4.00,4.00,4.00,4.00,3.50,2.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS RF and Board Design_58316_X_Taiwan_Connectivity Shared_Staffed,26138 - CBN_WIN_Hermosa_HW,Generic,CNE-HWS,CNE,WIN,Taiwan,Staffed,2.50,3.00,2.50,3.00,3.50,3.00,2.50,3.00,3.00,3.00,3.00,3.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-PE and Arch Technology_11977_India-BDC_Connectivity Shared_Staffed,26138 - CBN_WIN_Hermosa_HW,Generic,CNE-PE and Arch,CNE,WIN,India,Staffed,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS System_58316_X_Taiwan_Connectivity Shared_Staffed,26307 - CBN_MC_Orinoco_HW,Generic,CNE-HWS,CNE,MC,Taiwan,Staffed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,4.50,5.00,5.50,5.50,6.50,6.50,6.50,6.50,6.50,6.50,5.50,4.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-PE and Arch Technology_50706_X_US_Connectivity Shared_Staffed,26307 - CBN_MC_Orinoco_HW,Generic,CNE-PE and Arch,CNE,MC,US,Staffed,0.50,0.50,0.50,1.00,1.00,1.20,1.30,1.40,1.50,1.60,1.70,1.80,1.90,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,2.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-PE and Arch Technology_50706_X_US_Connectivity Shared_Staffed,21509 - Balsam (fka Pizarro),Generic,CNE-PE and Arch,CNE,XR,US,Staffed,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.20,0.20,0.20,0.20,0.20,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS DVT_50336_X_US_Connectivity Shared_Staffed,23180 - CBN_MC_LegacySupport_HW,Generic,CNE-HWS,CNE,MC,US,Staffed,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,0.00,0.00,1.75,1.75,1.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS RF and Board Design_50336_X_US_Connectivity Shared_Staffed,26307 - CBN_MC_Orinoco_HW,Generic,CNE-HWS,CNE,MC,US,Staffed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,3.00,3.00,3.00,3.50,3.50,4.50,4.50,5.00,5.00,5.00,6.00,6.00,6.00,6.00,8.00,7.50,7.50,2.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS System_50336_X_US_Connectivity Shared_Staffed,26307 - CBN_MC_Orinoco_HW,Generic,CNE-HWS,CNE,MC,US,Staffed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,5.00,9.00,17.00,18.33,18.33,18.33,19.33,20.33,20.33,21.33,21.33,21.33,21.33,24.33,26.33,29.33,29.33,27.33,15.33,15.33,15.33,15.33,7.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-PE and Arch Technology_50706_X_US_Connectivity Shared_Staffed,23511 - CBN_CCW_Ganges_HW,Generic,CNE-PE and Arch,CNE,CCW,US,Staffed,0.10,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,
CNE-HWS DVT_77963_X_India-CDC_Connectivity Shared_Staffed,26646 - CBN_WIN_Rimini_HW,Generic,CNE-HWS,CNE,WIN,India,Staffed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CNE-HWS RF and Board Design_77963_X_India-CDC_Connectivity Shared_Staffed,26646 - CBN_WIN_Rimini_HW,Generic,CNE-HWS,CNE,WIN,India,Staffed,0.00,0.00,1.50,1.50,1.50,1.50,1.50,2.75,2.75,2.75,2.25,2.25,1.75,1.25,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
