Project,Priority,Country,Target Capacity,Country Cost,Month,Monthly Capacity,25-Oct,25-Nov,25-Dec,26-Jan,26-Feb,26-Mar,26-Apr,26-May,26-Jun,26-Jul,26-Aug,26-Sep,26-Oct,26-Nov,26-Dec,27-Jan,27-Feb,27-Mar,27-Apr,27-May,27-Jun,27-Jul,27-Aug,27-Sep,27-Oct,27-Nov,27-Dec,28-Jan,28-Feb,28-Mar,28-Apr,28-May,28-Jun,28-Jul,28-Aug,28-Sep,28-Oct,28-Nov,28-Dec,29-Jan,Feb-29,29-Mar,29-Apr,29-May,29-Jun,29-Jul,29-Aug,29-Sep
,,Taiwan,,,28-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Taiwan,,,28-Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Taiwan,,,28-Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Taiwan,,,28-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Taiwan,,,28-Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Taiwan,,,28-Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Taiwan,,,28-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Taiwan,,,29-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Taiwan,,,Feb-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Taiwan,,,29-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Taiwan,,,29-Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Taiwan,,,29-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
